tripid,lat,lng,pdatetime,speed,rid,highway
1121515,41.076727,-81.519086,12/15/2015 16:37,0,271391577,residential
1121515,41.076622,-81.519045,12/15/2015 16:37,15.10400982,271391577,residential
1121515,41.076711,-81.519083,12/15/2015 16:37,8.885174046,271391577,residential
1121515,41.076735,-81.519114,12/15/2015 16:37,3.333896717,271391577,residential
1121515,41.076743,-81.519122,12/15/2015 16:37,1.32465002,271391577,residential
1121515,41.076739,-81.519128,12/15/2015 16:37,0.574589602,271391577,residential
1121515,41.076737,-81.519132,12/15/2015 16:38,0.407980691,271391577,residential
1121515,41.076736,-81.519136,12/15/2015 16:38,1.71675857,271391577,residential
1121515,41.076733,-81.519155,12/15/2015 16:38,2.915121262,271391577,residential
1121515,41.076732,-81.519169,12/15/2015 16:38,2.168163593,271391577,residential
1121515,41.076729,-81.519173,12/15/2015 16:38,1.683647874,271391577,residential
1121515,41.07672,-81.519161,12/15/2015 16:38,2.515601983,271391577,residential
1121515,41.076702,-81.519131,12/15/2015 16:38,4.027514538,271391577,residential
1121515,41.076677,-81.519084,12/15/2015 16:38,5.222119924,271391577,residential
1121515,41.076648,-81.519029,12/15/2015 16:38,5.276606076,271391577,residential
1121515,41.076631,-81.518975,12/15/2015 16:38,4.703667833,271391577,residential
1121515,41.076631,-81.518922,12/15/2015 16:38,4.776275639,270532113,primary
1121515,41.076642,-81.518865,12/15/2015 16:38,5.891386717,322328843,service
1121515,41.076682,-81.518805,12/15/2015 16:38,7.062807855,270532113,primary
1121515,41.076736,-81.518753,12/15/2015 16:38,7.952625419,270532113,primary
1121515,41.076802,-81.518702,12/15/2015 16:38,8.977246714,270532113,primary
1121515,41.076878,-81.518651,12/15/2015 16:38,9.814748228,270532113,primary
1121515,41.076961,-81.5186,12/15/2015 16:38,10.28299762,270532113,primary
1121515,41.077046,-81.518548,12/15/2015 16:38,10.48292385,270532113,primary
1121515,41.07713,-81.518491,12/15/2015 16:38,10.51511401,270532113,primary
1121515,41.077213,-81.518436,12/15/2015 16:38,9.913320556,270532113,primary
1121515,41.077289,-81.518389,12/15/2015 16:38,8.698807475,270532113,primary
1121515,41.077354,-81.518347,12/15/2015 16:38,7.50943187,270532113,primary
1121515,41.077411,-81.518312,12/15/2015 16:38,6.505601132,270532113,primary
1121515,41.077456,-81.518276,12/15/2015 16:38,5.552843631,270532113,primary
1121515,41.0774955,-81.518277,12/15/2015 16:38,4.45189736,270532113,primary
1121515,41.0775365,-81.5182565,12/15/2015 16:38,5.491545013,270532113,primary
1121515,41.077564,-81.518232,12/15/2015 16:38,4.108938715,270532113,primary
1121515,41.077579,-81.5182085,12/15/2015 16:38,2.851631125,270532113,primary
1121515,41.0775915,-81.5181985,12/15/2015 16:38,1.777956736,270532113,primary
1121515,41.077597,-81.518189,12/15/2015 16:38,1.286958901,270532113,primary
1121515,41.0775995,-81.518185,12/15/2015 16:38,1.102529384,270532113,primary
1121515,41.0776015,-81.5181845,12/15/2015 16:38,0.856632357,270532113,primary
1121515,41.0776035,-81.518186,12/15/2015 16:38,0.682619229,270532113,primary
1121515,41.077607,-81.5181875,12/15/2015 16:38,0.888476894,270532113,primary
1121515,41.07761,-81.518191,12/15/2015 16:38,0.894673279,270532113,primary
1121515,41.0776125,-81.518193,12/15/2015 16:38,0.680192941,270532113,primary
1121515,41.077615,-81.518195,12/15/2015 16:38,0.5232948,270532113,primary
1121515,41.077616,-81.5181935,12/15/2015 16:38,1.148522599,270532113,primary
1121515,41.0776165,-81.518187,12/15/2015 16:38,2.00249179,270532113,primary
1121515,41.077616,-81.5181825,12/15/2015 16:38,1.726223664,270532113,primary
1121515,41.077617,-81.5181795,12/15/2015 16:38,0.999341252,270532113,primary
1121515,41.077618,-81.518177,12/15/2015 16:38,0.918943096,270532113,primary
1121515,41.07762,-81.5181745,12/15/2015 16:38,1.385870307,270532113,primary
1121515,41.0776275,-81.5181685,12/15/2015 16:38,1.888227778,270532113,primary
1121515,41.077642,-81.518158,12/15/2015 16:38,2.65994639,270532113,primary
1121515,41.077667,-81.5181415,12/15/2015 16:38,3.768283365,270532113,primary
1121515,41.0777035,-81.5181225,12/15/2015 16:38,5.102210409,270532113,primary
1121515,41.07775,-81.518093,12/15/2015 16:38,6.120828888,270532113,primary
1121515,41.0778015,-81.5180575,12/15/2015 16:38,6.746484109,270532113,primary
1121515,41.077857,-81.5180175,12/15/2015 16:38,7.437132032,270532113,primary
1121515,41.0779185,-81.517972,12/15/2015 16:38,8.355954489,270532113,primary
1121515,41.0779905,-81.5179265,12/15/2015 16:38,9.151027658,270532113,primary
1121515,41.078064,-81.5178705,12/15/2015 16:38,9.570847337,270532113,primary
1121515,41.0781405,-81.5178145,12/15/2015 16:38,10.02189385,270532113,primary
1121515,41.078223,-81.5177585,12/15/2015 16:38,10.65460961,270532113,primary
1121515,41.0783105,-81.517698,12/15/2015 16:38,10.93390999,270532113,primary
1121515,41.0783965,-81.517636,12/15/2015 16:38,10.85488118,270532113,primary
1121515,41.0784815,-81.517573,12/15/2015 16:38,10.64544744,21396968,tertiary
1121515,41.078563,-81.5175115,12/15/2015 16:38,10.19431536,270532113,primary
1121515,41.07864,-81.517452,12/15/2015 16:38,9.833530455,270532113,primary
1121515,41.0787155,-81.517394,12/15/2015 16:39,9.723888259,270532113,primary
1121515,41.07879,-81.517334,12/15/2015 16:39,9.789778698,270532113,primary
1121515,41.0788675,-81.517278,12/15/2015 16:39,9.858450274,270532113,primary
1121515,41.0789445,-81.5172205,12/15/2015 16:39,9.844640547,270532113,primary
1121515,41.0790215,-81.5171625,12/15/2015 16:39,9.750068937,270532113,primary
1121515,41.079098,-81.517108,12/15/2015 16:39,9.610272555,270532113,primary
1121515,41.079173,-81.517052,12/15/2015 16:39,9.565091801,270532113,primary
1121515,41.0792495,-81.517,12/15/2015 16:39,9.537634208,270532113,primary
1121515,41.0793255,-81.516948,12/15/2015 16:39,9.445442252,270532113,primary
1121515,41.0793995,-81.516895,12/15/2015 16:39,9.353900581,270532113,primary
